Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
352,Marcus Smart\smartma01,SG,25,BOS,5,2,31.6,3.8,10.4,.365,2.2,6.6,.333,1.6,3.8,.421,.471,0.8,1.0,.800,0.8,2.8,3.6,4.8,1.2,0.4,0.8,2.6,10.6
353,Dennis Smith\smithde03,PG,22,NYK,3,0,8.7,0.3,3.7,.091,0.0,1.0,.000,0.3,2.7,.125,.091,0.3,0.7,.500,0.0,0.3,0.3,1.0,0.3,0.3,0.7,2.0,1.0
354,Ish Smith\smithis01,PG,31,WAS,5,5,28.2,3.8,8.8,.432,0.8,2.8,.286,3.0,6.0,.500,.477,0.2,0.8,.250,0.8,2.0,2.8,4.0,0.6,0.4,0.8,2.4,8.6
355,Tony Snell\snellto01,SF,28,DET,7,7,27.1,2.7,6.6,.413,1.7,4.4,.387,1.0,2.1,.467,.543,0.3,0.3,1.000,0.4,1.3,1.7,2.1,0.6,0.3,0.3,1.9,7.4
356,Omari Spellman\spellom01,PF,22,GSW,6,0,16.7,1.7,5.3,.313,0.3,1.5,.222,1.3,3.8,.348,.344,2.2,2.5,.867,2.0,3.5,5.5,0.8,0.8,0.7,1.7,1.5,5.8
357,Edmond Sumner\sumneed01,PG,24,IND,3,2,22.3,3.0,6.0,.500,0.0,1.0,.000,3.0,5.0,.600,.500,1.0,1.7,.600,0.3,0.7,1.0,2.0,1.7,0.3,0.3,3.0,7.0
358,Caleb Swanigan\swanica01,PF,22,SAC,4,0,2.8,0.3,0.5,.500,0.0,0.0,,0.3,0.5,.500,.500,0.3,0.5,.500,0.3,0.8,1.0,0.0,0.3,0.5,0.8,0.8,0.8
359,Jayson Tatum\tatumja01,PF,21,BOS,5,5,35.6,8.0,20.0,.400,3.6,7.4,.486,4.4,12.6,.349,.490,2.4,3.2,.750,1.6,6.0,7.6,2.2,1.6,0.6,1.8,2.8,22.0
360,Jeff Teague\teaguje01,PG,31,MIN,5,5,28.0,4.6,9.0,.511,1.0,3.0,.333,3.6,6.0,.600,.567,3.6,4.2,.857,0.0,2.2,2.2,7.0,1.4,0.0,2.4,2.2,13.8
361,Garrett Temple\templga01,SG,33,BRK,6,0,20.0,2.2,5.0,.433,1.0,3.2,.316,1.2,1.8,.636,.533,0.8,1.0,.833,0.3,2.3,2.7,1.3,1.5,0.5,0.7,1.3,6.2
362,Daniel Theis\theisda01,C,27,BOS,4,3,20.0,1.8,4.8,.368,0.3,1.3,.200,1.5,3.5,.429,.395,1.3,1.8,.714,1.5,4.5,6.0,0.5,0.0,2.0,0.5,2.5,5.0
